,CT,Unnamed: 0,ZIPcode5,AIN,RollYear,CENTER_LON,CENTER_LAT,TotalValue,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,ALAND,AWATER,INTPTLAT,INTPTLON
0,301,651978.0,,8326026908.0,2018.0,-117.71921445,34.06030319,0.0,0.0,0.0,0.0,0.0,461.0,6.0,71.0,301.0,6071000301.0,3.01,2695350.0,0.0,34.063215,-117.69963249999999
1,303,652642.0,91766.0,8327024015.0,2018.0,-117.72318432,34.049263200000006,83424.0,0.0,0.0,0.0,0.0,491.0,6.0,71.0,303.0,6071000303.0,3.03,2095523.0,0.0,34.052432700000004,-117.7146207
2,7511,1809186.0,,2006025001.0,2018.0,-118.64151882,34.24035578,2163.0,0.0,0.0,0.0,0.0,314.0,6.0,111.0,7511.0,6111007511.0,75.11,26440003.0,2126.0,34.2259874,-118.70137390000001
3,21815,849256.0,,8714027005.0,2018.0,-117.78320406,33.94630685,401.0,0.0,0.0,0.0,0.0,2129.0,6.0,59.0,21815.0,6059021815.0,218.15,38051947.0,51889.0,33.9269355,-117.8181879
4,99504,297880.5,,7237020281.5,2018.0,-118.10460429,33.75150694,211637.0,0.0,0.0,0.0,0.0,2997.0,6.0,59.0,99504.0,6059099504.0,995.04,2323128.0,8386.0,33.753553100000005,-118.09427009999999
5,101110,2095431.0,91042.0,2565006048.0,2018.0,-118.29260716,34.25931831,303990.0,1952.0,1242.0,3.0,2.0,1998.0,6.0,37.0,101110.0,6037101110.0,1011.1,1142402.0,0.0,34.2594737,-118.29298689999999
6,101122,2089298.5,91042.0,2553008010.5,2018.0,-118.29184606,34.265948339999994,370206.0,1962.0,1530.0,3.0,2.0,5867.0,6.0,37.0,101122.0,6037101122.0,1011.22,2644044.0,0.0,34.2677213,-118.2901465
7,101210,2096404.5,91042.0,2565013095.5,2018.0,-118.28963147,34.253535959999994,307217.5,1979.0,1329.0,2.0,2.0,1997.0,6.0,37.0,101210.0,6037101210.0,1012.1,650690.0,0.0,34.2529724,-118.29073090000001
8,101220,2097768.5,91042.0,2568005009.5,2018.0,-118.281744475,34.251154025,281673.0,1953.0,1208.0,2.0,2.0,1996.0,6.0,37.0,101220.0,6037101220.0,1012.2,698886.0,0.0,34.2516083,-118.2816328
9,101300,2099336.0,91042.0,2570020019.5,2018.0,-118.26964054999999,34.248721775,277167.0,1956.0,1340.5,3.0,2.0,967.0,6.0,37.0,101300.0,6037101300.0,1013.0,2581214.0,0.0,34.2487734,-118.27099779999999
10,101400,2095147.0,91042.0,2563039004.0,2018.0,-118.29019036,34.24576985,206944.0,1950.0,1080.0,2.0,1.0,5651.0,6.0,37.0,101400.0,6037101400.0,1014.0,6310054.0,0.0,34.2428521,-118.29416119999999
11,102103,2016373.5,91352.0,2404013006.5,2018.0,-118.35669985499999,34.224018369999996,337815.0,1957.0,1464.0,3.0,2.0,1271.0,6.0,37.0,102103.0,6037102103.0,1021.03,1186484.0,0.0,34.2250792,-118.354188
12,102104,2015147.5,91504.0,2401048009.5,2018.0,-118.34244442,34.21364871,392268.0,1975.0,1478.0,3.0,3.0,1452.0,6.0,37.0,102104.0,6037102104.0,1021.04,1658545.0,0.0,34.216187299999994,-118.3453981
13,102105,2017378.0,91352.0,2405014034.5,2018.0,-118.349990235,34.209607305,268885.5,1951.0,1288.0,3.0,2.0,2909.0,6.0,37.0,102105.0,6037102105.0,1021.05,492761.0,0.0,34.209876,-118.3492653
14,102107,2084891.0,91352.0,2544014508.5,2018.0,-118.352064195,34.236958815,270398.5,1954.0,1385.0,2.0,2.0,3689.0,6.0,37.0,102107.0,6037102107.0,1021.07,12908567.0,13753.0,34.2409046,-118.33951850000001
15,103101,2087833.0,91040.0,2551041001.0,2018.0,-118.30779052,34.26954677,303915.0,1956.0,1337.0,3.0,2.0,968.0,6.0,37.0,103101.0,6037103101.0,1031.01,2029809.0,0.0,34.2732407,-118.30788740000001
16,103102,2090518.0,91040.0,2556012023.0,2018.0,-118.30814976,34.26355144,298380.0,1955.0,1214.0,3.0,2.0,965.0,6.0,37.0,103102.0,6037103102.0,1031.02,1241029.0,0.0,34.2633843,-118.30738829999999
