,RES_value,percentile,COM_value
0,18.0,0,0.0
1,8203.0,1,0.0
2,23385.129999999997,2,0.0
3,36495.759999999995,3,9.0
4,45356.850000000035,4,6868.0
5,52737.0,5,17896.600000000002
6,59470.0,6,27714.110000000004
7,65881.0,7,36247.68
8,72342.0,8,44766.0
9,78810.0,9,53168.0
10,85625.0,10,61329.609999999986
11,92683.0,11,69548.0
12,100192.47000000003,12,78045.0
13,108000.0,13,87212.38
14,115797.0,14,95628.0
15,123665.0,15,104063.68000000001
16,131149.0,16,112870.97
17,138448.83999999997,17,121556.0
18,145711.0,18,129930.88000000002
19,152627.0,19,138717.2
20,159239.0,20,147281.28
21,165653.0,21,156378.62
22,172000.0,22,165372.0
23,178282.0,23,174283.0
24,184233.0,24,183600.0
25,190120.0,25,192704.38
26,195988.0,26,202418.0
27,201647.32000000007,27,211250.0
28,207322.0,28,220782.5199999999
29,213128.0,29,231333.0
30,218493.0,30,240961.12
31,223896.0,31,251112.84000000005
32,229007.0,32,261536.0
33,234427.0,33,271474.08
34,239763.6499999999,34,282755.3999999999
35,245153.0,35,294367.12
36,250583.0,36,305098.0
37,256122.65999999992,37,316200.0
38,261843.0,38,327555.57
39,267627.6000000001,39,338684.80000000005
40,273634.0,40,351463.66000000003
41,279894.0,41,364762.86
42,285600.0,42,378208.0
43,291825.36,43,392068.9999999999
44,298000.0,44,406891.8
45,304363.0,45,420537.66000000003
46,310791.85999999987,46,435632.08999999997
47,317000.0,47,451569.07999999996
48,323374.0,48,468596.96
49,330070.0,49,485463.5
50,336838.68999999994,50,501228.70999999996
51,343523.0,51,519476.0
52,350539.0,52,538692.13
53,357363.0,53,558600.8400000001
54,364559.80000000075,54,578133.95
55,371870.0,55,598056.8
56,379135.0,56,621638.97
57,386697.04000000004,57,644320.0
58,394586.0,58,669549.0
59,402340.0,59,695262.0
60,410173.0,60,722778.0
61,418590.0,61,751539.6
62,426960.9099999999,62,781635.0
63,435126.0,63,813204.6000000001
64,443700.0,64,848249.3000000003
65,452596.0,65,884340.0
66,461647.0,66,921442.1700000002
67,470794.0,67,960828.0
68,480599.0,68,1000000.0
69,490614.0,69,1043532.4999999995
70,501200.49,70,1092153.9100000001
71,512287.0,71,1142128.3199999998
72,524280.0,72,1194032.8900000001
73,536311.06,73,1252066.88
74,549454.0,74,1319366.25
75,562297.0,75,1384317.9200000002
76,576389.0,76,1455040.6299999994
77,591600.0,77,1530000.0
78,607350.0,78,1616271.8999999994
79,624240.0,79,1702961.8000000007
80,643000.0,80,1797814.160000003
81,662339.0,81,1901276.0
82,683435.7000000002,82,2027514.3999999994
83,706443.0,83,2161875.0
84,731884.0,84,2304930.4999999963
85,759491.0,85,2480000.0
86,790083.0,86,2665045.8000000073
87,824185.0,87,2892655.1199999982
88,863000.0,88,3173220.0
89,908555.100000002,89,3505552.0
90,963000.0,90,3900149.590000001
91,1029538.2399999998,91,4410895.480000006
92,1116900.0,92,5068415.449999999
93,1225353.3199999984,93,5943390.759999999
94,1363793.5499999905,94,7065461.599999999
95,1549712.5999999996,95,8852541.760000002
96,1820000.0,96,11824740.759999976
97,2288880.0,97,17604983.180000022
