,PropertyValue2014,PropertyValue2015,PropertyValue2016,PropertyValue2017,PropertyValue2018
0,0,0,0,0,0
1,7.7435,7.8982,8.0186,8.1789,8.3424
2,0.1773,0.1808,0.1835,0.2121,0.2163
3,0.0375,0.0382,0.0387,0.0394,0.0401
4,0.0022,20.0365,20.342,20.7488,21.1637
5,24.9497,26.1806,27.2684,28.626,30.3038
6,29.3297,31.06795,33.36195,35.2911,36.99095
7,24.7473,26.0094,27.0563,28.815,30.6131
8,22.11645,23.4536,24.94025,26.53755,27.85345
9,22.5852,24.1767,25.4565,26.5937,27.8091
10,16.5941,17.2713,18.2548,19.4739,20.4687
11,27.9575,29.0057,30.3238,31.8145,33.7556
12,31.3475,34.01785,36.06275,37.5776,39.2268
13,22.47755,23.1153,24.1729,25.4689,26.8298
14,21.5619,22.9643,23.836,25.3254,27
15,24.4294,25.8769,27.2782,28.8011,30.4439
16,24.1083,25.0308,26.1917,27.5765,29.7619
17,25.9223,27.757,29.13545,30.8441,32.90475
18,37.38305,38.78315,40.4907,43.1834,44.80175
19,24.6227,26.0271,27.0458,28.6352,30.0863
20,24.367,25.0508,26.2053,26.8231,28.204
21,18.1103,19.8273,20.7036,21.5598,22.6345
22,20.03445,20.88875,21.5711,22.23005,23.1259
23,16.12205,16.6314,17.25155,18.01655,18.9178
24,20.5972,21.0505,21.8376,22.7997,23.6047
25,19.96085,20.7114,21.45,22.37785,23.55455
26,24.1012,24.8141,26.2476,27.5971,28.463
27,19.9589,21.2682,21.9656,22.983,23.6451
28,18.43965,19.09345,19.66425,20.9762,22.1997
29,18.5575,19.2804,19.9658,21.2237,21.7223
30,17.7827,18.5376,19.8426,20.5318,21.0172
31,18.2803,18.9489,19.5522,20.7801,21.4775
32,19.1716,19.8218,20.5137,21.0677,22.7363
33,19.4022,20.0819,20.9172,21.60375,22.959
34,18.2667,18.8913,19.5555,20.4257,22.0689
35,18.84125,19.3451,20.08505,20.89865,21.69855
36,22.7262,23.6426,24.3898,25.577,26.6589
37,16.8474,18.0329,18.5579,19.601,20.9367
38,21.33485,22.1386,23.2437,23.8622,24.81745
39,20.7421,21.7155,22.4656,24.0056,24.8916
40,23.8915,24.8174,25.306,26.4637,27.8166
41,25.4805,27.8,28.9502,30.6636,31.9353
42,26.00125,26.84755,27.87385,28.9197,30.67665
43,28.573,29.4722,30.4463,31.26255,32.4648
44,26.0214,27.22755,28.30625,30.82205,32.8
45,25.61055,26.71825,27.63345,28.8575,30.50505
46,19,20.9019,21.8075,22.7271,23.7259
47,23.37285,24.16525,24.92235,25.66055,27.0026
48,19.9,21.2331,22.5384,23.7653,25.2016
49,26.5,27.716,28.8954,30.5731,31.8505
50,12.8078,13.3929,14.0689,14.61015,15.86255
51,18.8603,20.7461,22.7308,24.00065,25.85645
52,35.30125,36.82995,37.69325,39.0229,40.5102
53,23.9949,25.22045,26.22705,27.48945,28.5788
54,40.3087,42.1956,43.4941,45.2195,47.5185
55,25.7979,26.7866,28.6479,30.3028,31.7318
56,35.3522,36.4936,37.7116,39.4801,41.72585
57,34.8276,36.3582,37.6508,39.5837,41.8935
58,59.9408,62.3428,64.9163,67.3379,69.5933
59,39.3164,41.3793,43.27465,45.4975,47.7975
60,29.9644,30.9135,32.3593,33.7558,35.6396
61,25.0283,25.7468,26.8289,27.7479,28.5315
62,29.17,30.3078,30.8494,31.9157,32.7213
63,21.6276,22.4864,23.28895,24.4028,25.35445
64,23.4986,24.2515,25.0797,26.4933,27.8137
65,40.8201,42.7381,44.7555,46.37275,47.9945
66,38.0379,39.7653,40.6367,42.3,44.4295
67,57.3793,58.8532,60.3357,62.3706,64.9164
68,40.5017,41.4227,42.4544,44.0197,45.6875
69,49.6,51.1021,52.2972,54.1226,56.21315
70,62.5908,66.2647,69.3,71.1955,72.7997
71,24.8094,25.69505,26.4782,27.5656,28.47135
72,27.7066,28.829,30.0669,31.74275,33.27955
73,26.4269,28.25635,29.6518,31.40795,32.5362
