,Property_Value,percentile
0,0.0,0
1,0.0,1
2,6862.439999999993,2
3,45280.23999999999,3
4,59714.20000000001,4
5,79172.0,5
6,95567.68000000001,6
7,109443.0,7
8,119638.19999999998,8
9,126204.20000000001,9
10,140173.08000000002,10
11,151360.76,11
12,165441.48,12
13,178368.96000000002,13
14,201225.0,14
15,213277.44,15
16,226300.52000000002,16
17,243381.7199999999,17
18,260812.0,18
19,281638.6000000001,19
20,301140.6,20
21,319536.88000000006,21
22,336826.04000000004,22
23,356942.72,23
24,370794.0,24
25,396495.8400000001,25
26,415530.04000000004,26
27,435713.52000000014,27
28,449540.31999999995,28
29,473848.7999999999,29
30,494877.79999999993,30
31,524810.0,31
32,546989.96,32
33,566995.4400000001,33
34,598833.9999999998,34
35,629636.0,35
36,657456.7999999996,36
37,685694.3200000002,37
38,714150.5600000002,38
39,746930.6000000002,39
40,776452.0,40
41,802000.0,41
42,832108.0399999999,42
43,859197.44,43
44,887414.0,44
45,923974.9600000002,45
46,965047.8799999999,46
47,1007842.3199999998,47
48,1044488.44,48
49,1074436.0,49
50,1113771.0,50
51,1157961.2,51
52,1205816.12,52
53,1249556.2799999998,53
54,1297982.6,54
55,1347636.6400000001,55
56,1413042.0399999998,56
57,1474794.0,57
58,1520914.7600000002,58
59,1591404.4,59
60,1630446.52,60
61,1685455.04,61
62,1766657.6400000001,62
63,1837344.0399999998,63
64,1901575.6,64
65,2001967.3599999999,65
66,2070887.7600000002,66
67,2161491.0,67
68,2249712.0,68
69,2348956.3999999976,69
70,2415966.68,70
71,2513893.5999999987,71
72,2601000.0,72
73,2729388.2399999974,73
74,2845612.0,74
75,2961506.9600000014,75
76,3185427.7600000007,76
77,3356765.0400000033,77
78,3565227.480000001,78
79,3696930.0,79
80,3949287.960000001,80
81,4162062.32,81
82,4438118.96,82
83,4823799.4,83
84,5279554.799999999,84
85,5625082.24,85
86,6318206.599999992,86
87,7044280.000000016,87
88,7803267.92,88
89,8736437.800000018,89
90,10681032.64,90
91,12468944.880000005,91
92,15431755.520000005,92
93,20364212.959999975,93
94,23843280.19999996,94
95,27814192.399999972,95
96,34596648.839999735,96
97,45661768.43999997,97
