,Property_Value,percentile
0,0.0,0
1,0.0,1
2,77338.56,2
3,99603.15999999999,3
4,116837.4,4
5,122478.16,5
6,133544.68,6
7,151133.44,7
8,157407.71999999997,8
9,162910.6,9
10,173954.72,10
11,179259.32,11
12,186229.44,12
13,194969.56,13
14,198250.4,14
15,208401.2,15
16,216548.4,16
17,221467.48,17
18,229041.2,18
19,235247.0,19
20,243344.87999999995,20
21,255452.72,21
22,259403.56,22
23,290892.04,23
24,311951.0,24
25,316660.44,25
26,335718.67999999993,26
27,369616.32000000007,27
28,388582.31999999995,28
29,399820.0,29
30,418267.76,30
31,441823.19999999995,31
32,460422.92000000004,32
33,495604.04000000015,33
34,521122.0,34
35,540605.0799999998,35
36,564001.5199999998,36
37,587849.8,37
38,599675.6000000001,38
39,619957.6,39
40,644214.44,40
41,668563.44,41
42,687769.3600000001,42
43,709523.76,43
44,730695.8,44
45,756059.92,45
46,791556.6399999999,46
47,848849.52,47
48,887292.5999999999,48
49,914193.0,49
50,953965.44,50
51,974032.0,51
52,980307.4800000001,52
53,1021099.3999999999,53
54,1033357.0,54
55,1056569.0800000008,55
56,1088597.64,56
57,1112368.2,57
58,1153044.9999999995,58
59,1232325.8,59
60,1288203.04,60
61,1335349.8399999999,61
62,1377694.12,62
63,1408404.88,63
64,1535450.6000000006,64
65,1597453.8000000003,65
66,1617455.48,66
67,1685771.160000001,67
68,1733422.1199999985,68
69,1789257.0,69
70,1839564.8800000001,70
71,1880773.48,71
72,1951621.2800000003,72
73,2035806.0799999998,73
74,2118373.0,74
75,2186547.2800000003,75
76,2229317.12,76
77,2344395.4400000004,77
78,2476196.2399999998,78
79,2553556.8,79
80,2636246.72,80
81,2806223.9999999944,81
82,3096123.1999999993,82
83,3270993.56,83
84,3451617.599999999,84
85,3649533.64,85
86,3794740.4399999995,86
87,4082398.040000002,87
88,4582088.559999999,88
89,4978669.200000007,89
90,5184037.48,90
91,5611964.6,91
92,5988512.640000002,92
93,7080162.239999993,93
94,7861301.999999998,94
95,8465859.64,95
96,9525109.440000003,96
97,12883574.639999952,97
