,COM_value,CT,RES_value,percentile
0,94999.95,701501,59193.8,0
1,189999.9,701501,88232.40000000001,1
2,231333.3,701501,108673.7,2
3,257333.4,701501,134639.40000000002,3
4,285055.5,701501,155224.75,4
5,314155.19999999995,701501,161241.80000000002,5
6,345251.4,701501,172959.90000000002,6
7,380340.6,701501,189184.40000000002,7
8,411680.15,701501,211051.40000000002,8
9,413022.5,701501,220206.0,9
10,414364.85,701501,235188.35,10
11,417618.0,701501,249540.8,11
12,421110.0,701501,264048.3,12
13,430660.80000000005,701501,280540.2,13
14,443241.0,701501,296148.5,14
15,469374.00000000006,701501,307934.80000000005,15
16,512448.0,701501,321840.9,16
17,546403.5,701501,337708.3,17
18,548444.25,701501,353471.45,18
19,550485.0,701501,360304.0,19
20,589887.0,701501,369709.9,20
21,629289.0,701501,379434.7,21
22,640661.95,701501,387510.20000000007,22
23,644026.6,701501,397178.0,23
24,672575.5,701501,407667.25,24
25,721271.8,701501,425691.9000000002,25
26,763761.4,701501,436233.95,26
27,793837.6000000001,701501,443781.4,27
28,823183.45,701501,450395.4,28
29,846686.5,701501,459897.0,29
30,870189.5499999999,701501,466298.5,30
31,920991.8,701501,475813.4,31
32,975206.4500000002,701501,489052.44999999995,32
33,1043156.9000000001,701501,497866.10000000003,33
34,1117975.2499999998,701501,506774.25,34
35,1197466.4,701501,522978.0,35
36,1282798.5499999998,701501,533941.0,36
37,1365540.3000000003,701501,540483.2,37
38,1439215.6500000001,701501,549782.75,38
39,1512891.0,701501,561319.0,39
40,1539937.35,701501,575364.95,40
41,1566983.7,701501,583178.3,41
42,1585052.9,701501,591138.0,42
43,1600557.2,701501,600242.0,43
44,1648457.75,701501,608178.5,44
45,1722275.2999999998,701501,613499.3,45
46,1774496.75,701501,623995.5,46
47,1783526.0,701501,633339.2,47
48,1793020.8,701501,641026.35,48
49,1806240.0,701501,646832.0,49
50,1819459.2,701501,659288.35,50
51,1864132.4000000004,701501,668947.8,51
52,1912737.35,701501,689220.25,52
53,2097182.0000000005,701501,695049.8,53
54,2349546.500000002,701501,712014.5,54
55,2494740.8000000003,701501,734720.2000000007,55
56,2505972.35,701501,748699.0499999999,56
57,2544624.7999999993,701501,764594.7999999997,57
58,2679250.399999999,701501,774469.3,58
59,2813876.0,701501,784634.0,59
60,2945370.05,701501,798011.45,60
61,3076864.0999999996,701501,807008.7,61
62,3112484.75,701501,816541.6000000001,62
63,3120713.0,701501,832320.0,63
64,3241103.5,701501,841428.0,64
65,3451223.800000001,701501,854216.9,65
66,3611710.7500000005,701501,870997.3500000003,66
67,3672931.0000000005,701501,887238.8,67
68,3733007.8999999994,701501,898431.6499999999,68
69,3783937.9999999995,701501,914789.0,69
70,3834868.0999999996,701501,936056.85,70
71,3904987.8,701501,953233.0,71
72,3977506.2,701501,973091.8,72
73,4003755.3,701501,991283.9,73
74,4006869.75,701501,1006641.0,74
75,4114449.000000002,701501,1027415.4,75
76,4352609.249999999,701501,1045720.15,76
77,4594568.200000001,701501,1071000.0,77
78,4849822.600000002,701501,1097067.7,78
79,5105077.0,701501,1109076.0,79
80,5132893.300000001,701501,1139059.3000000005,80
81,5160709.600000001,701501,1175770.0999999999,81
82,5206168.0,701501,1202197.9499999997,82
83,5256667.0,701501,1236264.0000000002,83
84,5400153.75,701501,1280945.25,84
85,5618030.700000001,701501,1300499.0,85
86,5856579.0,701501,1344413.2,86
87,6136470.000000001,701501,1375625.6,87
88,6400048.899999999,701501,1420683.5,88
89,6533131.0,701501,1555575.5,89
90,6666213.100000001,701501,1615526.1499999997,90
91,7864199.999999996,701501,1719888.8000000021,91
92,9195300.000000004,701501,1806507.0,92
93,11818643.999999978,701501,1886892.499999998,93
94,15088110.0,701501,2111628.75,94
95,18276781.199999973,701501,2585541.5999999996,95
96,21364458.89999999,701501,2739736.3499999987,96
97,25659114.200000025,701501,3318835.6000000057,97
0,126045.2,701602,75714.0,0
1,135836.96,701602,98753.0,1
2,150277.09999999998,701602,112151.04000000001,2
3,165459.48,701602,126559.23999999999,3
4,205193.50000000003,701602,165663.2,4
5,227124.40000000002,701602,183501.47999999998,5
6,239385.97999999998,701602,204672.24,6
7,245578.44,701602,216607.47999999998,7
8,256698.72,701602,229583.96000000002,8
9,274353.00000000006,701602,242534.40000000002,9
10,333439.12,701602,249583.44,10
11,370266.52,701602,261389.32,11
12,413883.81999999995,701602,270165.4,12
13,422498.56000000006,701602,282045.4,13
14,450515.19999999995,701602,292162.19999999995,14
15,470039.19999999995,701602,300298.04,15
16,476687.9,701602,308265.64,16
17,505321.16,701602,319125.48,17
18,566204.46,701602,326835.44,18
19,596782.0,701602,336654.2,19
20,599806.1799999999,701602,341306.12,20
21,623783.1200000001,701602,350613.0,21
22,666041.16,701602,358494.36,22
23,705208.8,701602,365064.72000000003,23
24,745268.5,701602,373437.0,24
25,780567.0800000001,701602,382272.48,25
26,800502.26,701602,390669.28,26
27,823151.1200000001,701602,401057.56000000006,27
28,839982.0,701602,411572.44,28
29,840550.8,701602,415489.0,29
30,841596.5,701602,422552.0,30
31,843917.3200000001,701602,430866.64,31
32,848954.98,701602,438484.44000000006,32
33,854735.3200000001,701602,450036.60000000003,33
