CT,AIN,ZIPcode5,RollYear,TotalValue,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,unemployment,pop,gini,median_income,poverty_rate,pop75,Travel_Time701902,Travel_Time267800,building_age,year
262802,4409020008.5,90402.0,2018.0,1523961.0,1960.0,2724.0,3.0,3.0,3.2,3294.0,0.556,214032.0,1.3,302.0,350.0,907.0,58.0,2018
265520,4324029043.0,90025.0,2018.0,651029.0,1976.0,1714.5,2.0,2.0,10.3,4802.0,0.4462,96364.0,12.8,320.0,788.0,153.0,42.0,2018
267200,4323005019.0,90025.0,2018.0,621355.0,1977.0,1635.0,2.0,2.0,5.8,6089.0,0.468,86538.0,8.6,328.0,797.0,94.0,41.0,2018
267300,4261014099.0,90025.0,2018.0,566092.0,1979.0,1315.0,2.0,2.0,8.0,4751.0,0.4726,61290.0,19.2,209.0,922.0,217.0,39.0,2018
267501,4262013040.5,90025.0,2018.0,635409.5,1981.0,1652.0,3.0,3.0,2.5,6939.0,0.428,75780.0,10.8,185.0,817.0,345.0,37.0,2018
267502,4263035015.0,90025.0,2018.0,601771.0,1966.0,1436.0,2.0,2.0,5.0,3524.0,0.4027,80313.0,12.2,212.0,693.0,528.0,52.0,2018
267600,4260028017.0,90025.0,2018.0,575355.0,1960.0,1618.0,3.0,2.0,5.8,2755.0,0.4962,68510.0,12.7,183.0,682.0,322.0,58.0,2018
267700,4261024033.5,90025.0,2018.0,574560.0,1980.0,1536.0,2.0,2.0,3.2,3141.0,0.5062,84608.0,9.7,143.0,863.0,155.0,38.0,2018
267800,4320006064.0,90064.0,2018.0,685575.0,1953.0,1605.0,3.0,2.0,2.9,2791.0,0.5467,70938.0,6.7,298.0,734.0,167.0,65.0,2018
269000,4316014010.5,90064.0,2018.0,989520.5,1960.0,2606.5,3.0,3.0,3.1,5473.0,0.5598,116613.0,7.6,535.0,766.0,407.0,58.0,2018
269300,4318015027.5,90064.0,2018.0,970017.0,1950.0,2221.5,3.0,3.0,0.8,3980.0,0.4849,155972.0,6.2,201.0,690.0,211.0,68.0,2018
269700,4301020005.5,90034.0,2018.0,464144.5,1941.5,1440.0,2.0,2.0,8.9,3877.0,0.4731,80417.0,8.2,115.0,875.0,634.0,76.5,2018
269800,4311015018.0,90034.0,2018.0,497432.0,1953.0,1454.0,3.0,2.0,8.4,3217.0,0.4884,59444.0,21.6,106.0,789.0,530.0,65.0,2018
269904,4314020029.0,90034.0,2018.0,596700.0,1967.0,3505.0,3.0,3.0,5.8,3880.0,0.3453,62634.0,9.6,77.0,819.0,346.0,51.0,2018
269907,4313009086.5,90034.0,2018.0,539931.5,1987.0,1636.5,2.0,2.0,3.4,3097.0,0.455,63919.0,15.1,29.0,903.0,422.0,31.0,2018
270100,4313014102.0,90034.0,2018.0,424838.0,1973.0,1297.0,2.0,2.0,2.9,4310.0,0.4065,61745.0,14.0,154.0,907.0,539.0,45.0,2018
271100,4256017017.0,90064.0,2018.0,556772.0,1952.0,1520.0,3.0,2.0,6.9,2456.0,0.4922,89688.0,8.6,191.0,590.0,155.0,66.0,2018
271200,4260036016.0,90064.0,2018.0,490033.0,1959.0,1479.0,2.0,2.0,3.1,2806.0,0.4706,67152.0,13.3,88.0,512.0,299.0,59.0,2018
271300,4257023065.0,90064.0,2018.0,441699.0,1955.0,1400.0,3.0,2.0,4.4,4629.0,0.5047,91411.0,4.6,251.0,542.0,334.0,63.0,2018
271400,4247007021.5,90066.0,2018.0,524044.0,1957.0,1546.0,3.0,2.0,7.1,3728.0,0.474,110179.0,7.3,276.0,920.0,572.0,61.0,2018
271500,4248017071.0,90066.0,2018.0,610980.0,1958.0,1788.0,3.0,2.0,4.6,3174.0,0.4608,93009.0,4.7,294.0,1097.0,528.0,60.0,2018
271600,4250015026.5,90066.0,2018.0,580201.0,1957.0,1866.5,3.0,2.0,6.9,4755.0,0.4807,82586.0,17.7,147.0,689.0,392.0,61.0,2018
271701,4254008004.0,90034.0,2018.0,597180.0,1960.0,1652.0,3.0,2.0,7.3,5543.0,0.4417,90045.0,11.4,357.0,787.0,280.0,58.0,2018
271702,4251012134.0,90034.0,2018.0,402397.0,1961.0,1378.0,3.0,2.0,3.0,4176.0,0.4685,58665.0,18.8,123.0,710.0,266.0,57.0,2018
271901,4234011018.0,90066.0,2018.0,486274.0,1956.0,1609.0,3.0,2.0,7.4,3300.0,0.4138,86094.0,11.9,175.0,741.0,475.0,62.0,2018
272100,4246004015.0,90066.0,2018.0,524892.0,1953.0,1452.0,3.0,2.0,4.2,4620.0,0.4577,88192.0,13.4,304.0,1052.0,718.0,65.0,2018
273100,4243028022.0,90291.0,2018.0,534572.0,1956.0,1518.0,3.0,2.0,4.5,2541.0,0.4753,118958.0,9.2,122.0,736.5,751.5,62.0,2018
273700,4242015012.5,90291.0,2018.0,577419.5,1950.0,1467.5,3.0,2.0,2.2,2899.0,0.5056,107568.0,5.3,148.0,847.0,883.0,68.0,2018
275102,4217020006.0,90230.0,2018.0,374837.0,1956.0,1365.0,3.0,2.0,7.0,3862.0,0.4459,53500.0,12.4,83.0,804.0,682.0,62.0,2018
701304,4293004143.0,90402.0,2018.0,1082669.0,1971.0,1835.0,3.0,2.0,7.5,6356.0,0.5905,120427.0,7.5,778.0,286.0,898.0,47.0,2018
701402,4292021033.0,90403.0,2018.0,778998.0,1974.0,1538.0,2.0,2.0,7.8,6075.0,0.5678,77677.0,16.7,783.0,174.0,894.0,44.0,2018
701501,4281013016.5,90403.0,2018.0,651126.5,1973.0,1545.5,2.0,3.0,7.0,5046.0,0.4244,102656.0,10.4,286.0,288.0,941.0,45.0,2018
701502,4282007019.5,90404.0,2018.0,628150.0,1971.0,1426.0,2.0,2.0,4.9,3783.0,0.4093,80491.0,11.2,410.0,267.0,898.0,47.0,2018
