,PropertyValue2018,PropertyValue2017,PropertyValue2016,PropertyValue2015,PropertyValue2014
0,152,139,129,122,116
1,65,61,59,56,54
2,62,59,56,52,50
3,56,54,53,52,50
4,63,60,57,54,50
5,60,56,52,48,46
6,57,53,50,48,45
7,57,54,51,49,46
8,68,64,61,57,54
9,98,93,87,82,77
10,97,91,85,81,76
11,46,44,40,37,35
12,49,47,45,42,40
13,59,55,51,50,48
14,53,50,48,47,46
15,42,38,36,35,33
16,55,52,46,45,42
17,49,46,44,41,37
18,44,41,39,37,36
19,52,49,46,44,42
20,61,57,53,50,48
21,58,54,51,49,43
22,59,57,52,50,47
23,40,37,35,34,31
24,48,46,44,42,40
25,52,49,47,45,42
26,53,50,46,44,40
27,57,54,51,48,44
28,37,34,33,31,29
29,108,100,94,88,82
30,77,73,70,68,65
31,65,62,60,57,54
32,62,61,57,54,52
33,90,85,81,78,74
34,64,61,58,55,52
35,55,53,50,48,46
36,77,73,67,63,61
37,51,48,46,42,40
38,58,54,50,48,46
39,173,144,137,130,125
40,55,53,51,48,47
41,67,63,61,58,54
42,59,57,54,52,49
43,66,63,60,57,54
44,63,59,56,53,51
45,43,40,37,35,33
